export_country,import_country,value_thousand_USD,quantity_metric_tons,year
Austria,Rep. of Korea,434.5742707376252,41.68010487466839,2018
Austria,Rep. of Moldova,6.85,0.586,2018
Austria,Romania,187.69386000056508,35.983763680769925,2018
Austria,Russian Federation,1003.9443087413857,225.8749370604991,2018
Austria,Saudi Arabia,2.141,0.145,2018
Austria,Serbia,39.8117406377269,4.5832634408362996,2018
Austria,Seychelles,1.0590000000000002,0.045,2018
Austria,Singapore,258.10860370626375,23.636667738687315,2018
Austria,Slovakia,1434.1642733118415,355.78122708919517,2018
Austria,Slovenia,235.62188728725394,39.6611538783096,2018
Austria,So. African Customs Union,11.75374984830664,1.332180809837858,2018
Austria,Spain,550.0221575158577,67.75045569557352,2018
Austria,Sri Lanka,1.7990000000000002,0.297,2018
Austria,Sweden,5803.903889945998,974.4953028763481,2018
Austria,Switzerland,25811.84905287099,3357.0300683313562,2018
Austria,TFYR of Macedonia,32.080999999999996,2.8080000000000003,2018
Austria,Thailand,183.05091540401014,23.125799812159496,2018
Austria,Trinidad and Tobago,4.323,0.42700000000000005,2018
Austria,Tunisia,1.2009999999999998,0.09,2018
Austria,Turkey,151.762615544124,10.8041597172489,2018
Austria,USA,18390.762738104208,3114.753669585882,2018
Austria,Ukraine,156.1819005621482,18.87744084719769,2018
Austria,United Arab Emirates,284.47730677354303,22.4891793301517,2018
Austria,United Kingdom,8244.739289782978,1203.3796363443707,2018
Austria,Uruguay,5.326085136321759,0.1842773718619967,2018
Austria,Viet Nam,22.988000000000003,10.956,2018
Azerbaijan,Belarus,169.448486413731,122.459130007052,2018
Azerbaijan,Belgium-Luxembourg,86.51,8.261000000000001,2018
Azerbaijan,China,388.225900427488,175.028993239594,2018
Azerbaijan,"China, Hong Kong SAR",193.523,3.46,2018
Azerbaijan,France,4.054898568388049,1.43206368531044,2018
Azerbaijan,Kyrgyzstan,85.51820267767309,70.76830900013441,2018
Azerbaijan,Lithuania,1.3669970596353602,0.8477693694473991,2018
Azerbaijan,Netherlands,98.16765501494172,17.440233516243502,2018
Azerbaijan,Poland,1.88,0.653,2018
Azerbaijan,Russian Federation,6654.4418237516165,7529.06686644115,2018
Azerbaijan,Spain,1.01,0.09,2018
Azerbaijan,Switzerland,17.328,0.17600000000000002,2018
Azerbaijan,Turkey,42.647,9.24,2018
Azerbaijan,USA,27.324314666333752,2.62338629003051,2018
Azerbaijan,Ukraine,133.97966315364098,69.7299540380216,2018
Azerbaijan,United Arab Emirates,5.84,1.04,2018
Bahamas,Brazil,2.283,0.16899999999999998,2018
Bahamas,Maldives,1.7,0.485,2018
Bahamas,USA,3.0010000000000003,0.113,2018
Bahamas,United Arab Emirates,8.318999999999999,0.9259999999999999,2018
Bahrain,"China, Hong Kong SAR",4.296,0.537,2018
Bahrain,Slovenia,5.044,1.1340000000000001,2018
Bahrain,USA,2.46,0.205,2018
Bahrain,United Arab Emirates,3.468,1.328,2018
